"Group","Name","ObjectClass","SID"
"Administrators","NEBULA\Administrator","User","S-1-5-21-3541081543-3933178036-1271275765-500"
"Administrators","NEBULA\Nebula","User","S-1-5-21-3541081543-3933178036-1271275765-1001"
