"PID","PPID","Name","Path","CommandLine","Owner","SHA256","CreationDate","WorkingSetMB","ThreadCount","HandleCount","Flags"
"45884","45964","GitHubDesktop.exe","C:\Users\Nebula\AppData\Local\GitHubDesktop\app-3.5.7\GitHubDesktop.exe","""C:\Users\Nebula\AppData\Local\GitHubDesktop\app-3.5.7\GitHubDesktop.exe"" --type=gpu-process --user-data-dir=""C:\Users\Nebula\AppData\Roaming\GitHub Desktop"" --gpu-preferences=SAAAAAAAAADgAAAEAAAAAAAAAAAAAGAAAQAAAAAAAAAAAAAAAAAAAAIAAAAAAAAAAAAAAAAAAAAQAAAAAAAAABAAAAAAAAAACAAAAAAAAAAIAAAAAAAAAA== --field-trial-handle=2064,i,15617535319028678551,14826714975097546869,262144 --enable-features=EnableTransparentHwndEnlargement,PdfUseShowSaveFilePicker --disable-features=LocalNetworkAccessChecks,NetworkServiceSandbox,ScreenAIOCREnabled,SpareRendererForSitePerProcess,TraceSiteInstanceGetProcessCreation --variations-seed-version --trace-process-track-uuid=3190708988185955192 --mojo-platform-channel-handle=1976 /prefetch:2","NEBULA\Nebula","9B5455617E0235A9183CDD3F2E656C2E2F91986480E593A22A16AFAD3A338D95","4/12/2026 13:48:22","98.94","122","964",""
"31832","45964","GitHubDesktop.exe","C:\Users\Nebula\AppData\Local\GitHubDesktop\app-3.5.7\GitHubDesktop.exe","""C:\Users\Nebula\AppData\Local\GitHubDesktop\app-3.5.7\GitHubDesktop.exe"" --type=utility --utility-sub-type=network.mojom.NetworkService --lang=en-US --service-sandbox-type=none --user-data-dir=""C:\Users\Nebula\AppData\Roaming\GitHub Desktop"" --field-trial-handle=2064,i,15617535319028678551,14826714975097546869,262144 --enable-features=EnableTransparentHwndEnlargement,PdfUseShowSaveFilePicker --disable-features=LocalNetworkAccessChecks,NetworkServiceSandbox,ScreenAIOCREnabled,SpareRendererForSitePerProcess,TraceSiteInstanceGetProcessCreation --variations-seed-version --trace-process-track-uuid=3190708989122997041 --mojo-platform-channel-handle=2504 /prefetch:11","NEBULA\Nebula","9B5455617E0235A9183CDD3F2E656C2E2F91986480E593A22A16AFAD3A338D95","4/12/2026 13:48:22","46.23","19","351",""
"20112","45964","GitHubDesktop.exe","C:\Users\Nebula\AppData\Local\GitHubDesktop\app-3.5.7\GitHubDesktop.exe","""C:\Users\Nebula\AppData\Local\GitHubDesktop\app-3.5.7\GitHubDesktop.exe"" --type=renderer --user-data-dir=""C:\Users\Nebula\AppData\Roaming\GitHub Desktop"" --app-user-model-id=com.squirrel.GitHubDesktop.GitHubDesktop --app-path=""C:\Users\Nebula\AppData\Local\GitHubDesktop\app-3.5.7\resources\app"" --no-sandbox --no-zygote --disable-blink-features=Auxclick --video-capture-use-gpu-memory-buffer --lang=en-US --device-scale-factor=1 --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=4 --time-ticks-at-unix-epoch=-1776011608124319 --launch-time-ticks=4493956262 --field-trial-handle=2064,i,15617535319028678551,14826714975097546869,262144 --enable-features=EnableTransparentHwndEnlargement,PdfUseShowSaveFilePicker --disable-features=LocalNetworkAccessChecks,NetworkServiceSandbox,ScreenAIOCREnabled,SpareRendererForSitePerProcess,TraceSiteInstanceGetProcessCreation --variations-seed-version --trace-process-track-uuid=3190708990060038890 --mojo-platform-channel-handle=2760 /prefetch:1","NEBULA\Nebula","9B5455617E0235A9183CDD3F2E656C2E2F91986480E593A22A16AFAD3A338D95","4/12/2026 13:48:22","175.39","50","562",""
"7784","1996","svchost.exe",,,"N/A","NO_PATH","4/12/2026 15:51:54","26.87","16","559",""
"42340","1996","svchost.exe",,,"N/A","NO_PATH","4/12/2026 15:52:01","7.46","5","126",""
"45976","31788","brave.exe","C:\Program Files\BraveSoftware\Brave-Browser\Application\brave.exe","""C:\Program Files\BraveSoftware\Brave-Browser\Application\brave.exe"" --type=renderer --enable-distillability-service --origin-trial-public-key=bYUKPJoPnCxeNvu72j4EmPuK7tr1PAC7SHh8ld9Mw3E=,fMS4mpO6buLQ/QMd+zJmxzty/VQ6B1EUZqoCU04zoRU= --no-pre-read-main-dll --video-capture-use-gpu-memory-buffer --lang=en-US --device-scale-factor=1 --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=69 --time-ticks-at-unix-epoch=-1776011608124319 --launch-time-ticks=13167379761 --metrics-shmem-handle=9732,i,12390129632019386263,11630395856536794799,2097152 --field-trial-handle=1876,i,1352008025627516379,520459169733221897,262144 --variations-seed-version=main@f302a28ab582480bd3f028035bc9568f1e46931a --pseudonymization-salt-handle=1880,i,7659466674756741429,17131394992920333802,4 --trace-process-track-uuid=3190709050967759075 --mojo-platform-channel-handle=7360 /prefetch:1","NEBULA\Nebula","AF43909889CDDF9EABF8577663C3B17125F256E17A38C6322297DDDB49E59F6E","4/12/2026 16:12:55","190.35","43","767",""
"8092","31788","brave.exe","C:\Program Files\BraveSoftware\Brave-Browser\Application\brave.exe","""C:\Program Files\BraveSoftware\Brave-Browser\Application\brave.exe"" --type=renderer --enable-distillability-service --origin-trial-public-key=bYUKPJoPnCxeNvu72j4EmPuK7tr1PAC7SHh8ld9Mw3E=,fMS4mpO6buLQ/QMd+zJmxzty/VQ6B1EUZqoCU04zoRU= --no-pre-read-main-dll --start-stack-profiler --video-capture-use-gpu-memory-buffer --lang=en-US --device-scale-factor=1 --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=88 --time-ticks-at-unix-epoch=-1776011608124319 --launch-time-ticks=16973996594 --metrics-shmem-handle=5856,i,7125888074663650067,7384091237239154837,2097152 --field-trial-handle=1876,i,1352008025627516379,520459169733221897,262144 --variations-seed-version=main@f302a28ab582480bd3f028035bc9568f1e46931a --pseudonymization-salt-handle=1880,i,7659466674756741429,17131394992920333802,4 --trace-process-track-uuid=3190709068771554206 --mojo-platform-channel-handle=9640 /prefetch:1","NEBULA\Nebula","AF43909889CDDF9EABF8577663C3B17125F256E17A38C6322297DDDB49E59F6E","4/12/2026 17:16:22","107.28","43","389",""
"46936","13736","vmware.exe","C:\Program Files (x86)\VMware\VMware Workstation\vmware.exe","""C:\Program Files (x86)\VMware\VMware Workstation\vmware.exe"" ","NEBULA\Nebula","23AF54C06BB378EA7BA3F476B5A80E2FF2F0E6FE4CDB9F47275C830D210EE7B8","4/12/2026 18:03:17","118.83","27","899",""
"21268","6908","vmware-vmx.exe",,,"NEBULA\Nebula","NO_PATH","4/12/2026 18:03:36","5236.8","17","684",""
"47116","21268","mksSandbox.exe","C:\Program Files (x86)\VMware\VMware Workstation\x64\mksSandbox.exe","""C:\Program Files (x86)\VMware\VMware Workstation\x64\mksSandbox.exe"" --pipeInfo ""\\.\pipe\vmware\mksSandbox\mksSandbox-52 1d d6 2d f8 f8 65 6e-63 0b 71 52 14 bc c1 91"" ","NEBULA\Nebula","74391C5C9670F93B1FF31990150B452E1087C6EF903C57A33D55E11F75777F18","4/12/2026 18:03:37","80.5","13","393",""
