"IPAddress","LinkLayerAddress","State","InterfaceAlias"
"ff02::16","33-33-00-00-00-16","Permanent","Ethernet"
"ff02::c","33-33-00-00-00-0C","Permanent","Ethernet"
"ff02::2","33-33-00-00-00-02","Permanent","Ethernet"
"ff02::1","33-33-00-00-00-01","Permanent","Ethernet"
"fe80::8278:71ff:fe49:a944","80-78-71-49-A9-44","Reachable","Ethernet"
"fe80::10a7:73de:793c:2a35","DE-CB-35-71-A5-C6","Stale","Ethernet"
"2603:9000:a000:346b::1","80-78-71-49-A9-44","Reachable","Ethernet"
"ff15::efc0:988f","","Permanent","Loopback Pseudo-Interface 1"
"ff05::c","","Permanent","Loopback Pseudo-Interface 1"
"ff02::1:2","","Permanent","Loopback Pseudo-Interface 1"
"ff02::16","","Permanent","Loopback Pseudo-Interface 1"
"ff02::c","","Permanent","Loopback Pseudo-Interface 1"
"239.255.255.250","01-00-5E-7F-FF-FA","Permanent","VMware Network Adapter VMnet8"
"224.0.0.252","01-00-5E-00-00-FC","Permanent","VMware Network Adapter VMnet8"
"224.0.0.251","01-00-5E-00-00-FB","Permanent","VMware Network Adapter VMnet8"
"224.0.0.22","01-00-5E-00-00-16","Permanent","VMware Network Adapter VMnet8"
"192.168.46.255","FF-FF-FF-FF-FF-FF","Permanent","VMware Network Adapter VMnet8"
"192.168.46.128","00-0C-29-50-86-50","Stale","VMware Network Adapter VMnet8"
"192.168.46.1","00-00-00-00-00-00","Unreachable","VMware Network Adapter VMnet8"
"239.255.255.250","01-00-5E-7F-FF-FA","Permanent","VMware Network Adapter VMnet1"
"224.0.0.252","01-00-5E-00-00-FC","Permanent","VMware Network Adapter VMnet1"
"224.0.0.251","01-00-5E-00-00-FB","Permanent","VMware Network Adapter VMnet1"
"224.0.0.22","01-00-5E-00-00-16","Permanent","VMware Network Adapter VMnet1"
"192.168.246.255","FF-FF-FF-FF-FF-FF","Permanent","VMware Network Adapter VMnet1"
"192.168.246.1","00-00-00-00-00-00","Unreachable","VMware Network Adapter VMnet1"
"239.255.255.250","01-00-5E-7F-FF-FA","Permanent","Ethernet 2"
"239.192.152.143","01-00-5E-40-98-8F","Permanent","Ethernet 2"
"224.0.0.252","01-00-5E-00-00-FC","Permanent","Ethernet 2"
"224.0.0.251","01-00-5E-00-00-FB","Permanent","Ethernet 2"
"224.0.0.22","01-00-5E-00-00-16","Permanent","Ethernet 2"
"192.168.56.255","FF-FF-FF-FF-FF-FF","Permanent","Ethernet 2"
"192.168.56.1","00-00-00-00-00-00","Unreachable","Ethernet 2"
"239.255.255.250","01-00-5E-7F-FF-FA","Permanent","Wi-Fi 5"
"224.0.0.22","01-00-5E-00-00-16","Permanent","Wi-Fi 5"
"224.0.0.22","01-00-5E-00-00-16","Permanent","Wi-Fi 4"
"239.255.255.250","01-00-5E-7F-FF-FA","Permanent","Wi-Fi 3"
"224.0.0.22","01-00-5E-00-00-16","Permanent","Wi-Fi 3"
"239.255.255.250","","Permanent","OpenVPN Data Channel Offload for NordVPN"
"239.192.152.143","","Permanent","OpenVPN Data Channel Offload for NordVPN"
"224.0.0.22","","Permanent","OpenVPN Data Channel Offload for NordVPN"
"239.255.255.250","01-00-5E-7F-FF-FA","Permanent","Bluetooth Network Connection"
"239.192.152.143","01-00-5E-40-98-8F","Permanent","Bluetooth Network Connection"
"224.0.0.22","01-00-5E-00-00-16","Permanent","Bluetooth Network Connection"
"239.255.255.250","","Permanent","NordLynx"
"224.0.0.252","","Permanent","NordLynx"
"224.0.0.251","","Permanent","NordLynx"
"224.0.0.22","","Permanent","NordLynx"
"10.5.255.255","","Permanent","NordLynx"
"10.5.0.2","","Stale","NordLynx"
"239.255.255.250","01-00-5E-7F-FF-FA","Permanent","Wi-Fi"
"239.192.152.143","01-00-5E-40-98-8F","Permanent","Wi-Fi"
"224.0.0.22","01-00-5E-00-00-16","Permanent","Wi-Fi"
"239.255.255.250","01-00-5E-7F-FF-FA","Permanent","Local Area Connection"
"239.192.152.143","01-00-5E-40-98-8F","Permanent","Local Area Connection"
"224.0.0.22","01-00-5E-00-00-16","Permanent","Local Area Connection"
"255.255.255.255","FF-FF-FF-FF-FF-FF","Permanent","Ethernet"
"239.255.255.250","01-00-5E-7F-FF-FA","Permanent","Ethernet"
"239.192.152.143","01-00-5E-40-98-8F","Permanent","Ethernet"
"224.0.0.252","01-00-5E-00-00-FC","Permanent","Ethernet"
"224.0.0.251","01-00-5E-00-00-FB","Permanent","Ethernet"
"224.0.0.22","01-00-5E-00-00-16","Permanent","Ethernet"
"192.168.1.255","FF-FF-FF-FF-FF-FF","Permanent","Ethernet"
"192.168.1.197","DE-CB-35-71-A5-C6","Stale","Ethernet"
"192.168.1.185","98-CC-F3-FF-D5-EB","Reachable","Ethernet"
"192.168.1.124","44-27-45-CF-7C-C8","Reachable","Ethernet"
"192.168.1.22","F4-03-2A-8C-A9-91","Stale","Ethernet"
"192.168.1.1","80-78-71-49-A9-44","Reachable","Ethernet"
"239.255.255.250","","Permanent","Loopback Pseudo-Interface 1"
"239.192.152.143","","Permanent","Loopback Pseudo-Interface 1"
"224.0.0.22","","Permanent","Loopback Pseudo-Interface 1"
