"LocalAddress","LocalPort","RemoteAddress","RemotePort","State","PID","ProcessName","ProcessPath","CreationTime"
"127.0.0.1","55704","127.0.0.1","55703","Established","14900","DiscWizardMonitor","C:\Program Files (x86)\Seagate\DiscWizard\DiscWizardMonitor.exe","4/12/2026 12:50:28"
"127.0.0.1","55703","127.0.0.1","55704","Established","14900","DiscWizardMonitor","C:\Program Files (x86)\Seagate\DiscWizard\DiscWizardMonitor.exe","4/12/2026 12:50:28"
"127.0.0.1","55699","0.0.0.0","0","Listen","31760","MSI_LAN_Manager_Tool",,"4/12/2026 12:34:22"
"127.0.0.1","55698","127.0.0.1","9999","Established","14900","DiscWizardMonitor","C:\Program Files (x86)\Seagate\DiscWizard\DiscWizardMonitor.exe","4/12/2026 12:50:27"
"127.0.0.1","55696","127.0.0.1","55695","Established","14900","DiscWizardMonitor","C:\Program Files (x86)\Seagate\DiscWizard\DiscWizardMonitor.exe","4/12/2026 12:50:27"
"127.0.0.1","55695","127.0.0.1","55696","Established","14900","DiscWizardMonitor","C:\Program Files (x86)\Seagate\DiscWizard\DiscWizardMonitor.exe","4/12/2026 12:50:27"
"192.168.1.17","55649","18.97.36.5","443","Established","18240","brave","C:\Program Files\BraveSoftware\Brave-Browser\Application\brave.exe","4/12/2026 19:24:42"
"127.0.0.1","54815","127.0.0.1","9999","TimeWait","0","Idle",,"12/31/1600 19:00:00"
"127.0.0.1","54813","127.0.0.1","5005","TimeWait","0","Idle",,"12/31/1600 19:00:00"
"127.0.0.1","54812","127.0.0.1","5004","TimeWait","0","Idle",,"12/31/1600 19:00:00"
"127.0.0.1","54811","127.0.0.1","5003","TimeWait","0","Idle",,"12/31/1600 19:00:00"
"127.0.0.1","54810","127.0.0.1","5002","TimeWait","0","Idle",,"12/31/1600 19:00:00"
"127.0.0.1","54809","127.0.0.1","5001","TimeWait","0","Idle",,"12/31/1600 19:00:00"
"127.0.0.1","54808","127.0.0.1","5000","TimeWait","0","Idle",,"12/31/1600 19:00:00"
"127.0.0.1","54807","127.0.0.1","5010","TimeWait","0","Idle",,"12/31/1600 19:00:00"
"192.168.1.17","54798","34.192.90.115","443","Established","37844","msedgewebview2","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\146.0.3856.109\msedgewebview2.exe","4/12/2026 18:34:35"
"192.168.1.17","54487","192.168.1.124","8009","Established","18240","brave","C:\Program Files\BraveSoftware\Brave-Browser\Application\brave.exe","4/12/2026 12:55:46"
"192.168.1.17","53730","34.158.255.62","4070","Established","39796","Spotify","C:\Program Files\WindowsApps\SpotifyAB.SpotifyMusic_1.286.502.0_x64__zpdnekdrzrea0\Spotify.exe","4/12/2026 12:34:40"
"127.0.0.1","53645","127.0.0.1","5010","TimeWait","0","Idle",,"12/31/1600 19:00:00"
"192.168.1.17","53569","140.82.114.25","443","Established","31832","GitHubDesktop","C:\Users\Nebula\AppData\Local\GitHubDesktop\app-3.5.7\GitHubDesktop.exe","4/12/2026 19:22:29"
"127.0.0.1","53203","127.0.0.1","7768","Established","40748","SpotifyLauncher","C:\Program Files\WindowsApps\SpotifyAB.SpotifyMusic_1.286.502.0_x64__zpdnekdrzrea0\SpotifyLauncher.exe","4/12/2026 12:34:45"
"127.0.0.1","52693","127.0.0.1","30630","TimeWait","0","Idle",,"12/31/1600 19:00:00"
"127.0.0.1","52687","127.0.0.1","30630","TimeWait","0","Idle",,"12/31/1600 19:00:00"
"127.0.0.1","52684","127.0.0.1","9999","TimeWait","0","Idle",,"12/31/1600 19:00:00"
"127.0.0.1","52675","127.0.0.1","5005","TimeWait","0","Idle",,"12/31/1600 19:00:00"
"127.0.0.1","52674","127.0.0.1","5004","TimeWait","0","Idle",,"12/31/1600 19:00:00"
"127.0.0.1","52673","127.0.0.1","5003","TimeWait","0","Idle",,"12/31/1600 19:00:00"
"127.0.0.1","52672","127.0.0.1","5002","TimeWait","0","Idle",,"12/31/1600 19:00:00"
"127.0.0.1","52671","127.0.0.1","5001","TimeWait","0","Idle",,"12/31/1600 19:00:00"
"127.0.0.1","52670","127.0.0.1","5000","TimeWait","0","Idle",,"12/31/1600 19:00:00"
"127.0.0.1","52669","127.0.0.1","5010","TimeWait","0","Idle",,"12/31/1600 19:00:00"
"127.0.0.1","52642","127.0.0.1","5010","TimeWait","0","Idle",,"12/31/1600 19:00:00"
"127.0.0.1","52320","127.0.0.1","49674","Established","6660","aakore",,"4/12/2026 16:59:47"
"192.168.1.17","52299","52.202.87.105","443","Established","35992","Grammarly.Desktop","C:\Users\Nebula\AppData\Local\Grammarly\DesktopIntegrations\Grammarly.Desktop.exe","4/12/2026 19:23:24"
"127.0.0.1","50546","127.0.0.1","5010","TimeWait","0","Idle",,"12/31/1600 19:00:00"
"127.0.0.1","50511","127.0.0.1","6327","Established","25876","SteelSeriesEngine","C:\Program Files\SteelSeries\GG\apps\engine\SteelSeriesEngine.exe","4/12/2026 19:22:28"
"127.0.0.1","50473","127.0.0.1","5010","TimeWait","0","Idle",,"12/31/1600 19:00:00"
