"FullPath","Name","Extension","SizeKB","Created","Modified","Accessed","Directory","SuspiciousExt","Hidden"
"C:\Users\Nebula\AppData\Roaming\Grammarly\DesktopIntegrations\user.config","user.config",".config","122.46","10/14/2025 12:49:29","4/12/2026 19:04:39","4/12/2026 19:04:39","C:\Users\Nebula\AppData\Roaming\Grammarly\DesktopIntegrations","False","0"
"C:\ProgramData\AMD\PPC\apprecord.csv","apprecord.csv",".csv","22907.44","7/21/2025 20:30:15","4/12/2026 19:03:56","4/12/2026 19:03:56","C:\ProgramData\AMD\PPC","False","0"
"C:\ProgramData\AMD\PPC\sdkusage.csv","sdkusage.csv",".csv","44860174.18","7/21/2025 20:47:45","4/12/2026 19:03:56","4/12/2026 19:03:56","C:\ProgramData\AMD\PPC","False","0"
"C:\Users\Nebula\Documents\Virtual Machines\Wazuh-Server\Wazuh-Server-000001.vmdk","Wazuh-Server-000001.vmdk",".vmdk","18326208","3/19/2026 15:16:16","4/12/2026 19:03:32","4/12/2026 18:03:40","C:\Users\Nebula\Documents\Virtual Machines\Wazuh-Server","False","0"
"C:\Users\Nebula\AppData\Roaming\GitHub Desktop\WebStorage\QuotaManager-journal","QuotaManager-journal","","0","8/6/2025 21:56:12","4/12/2026 19:02:27","4/12/2026 19:02:27","C:\Users\Nebula\AppData\Roaming\GitHub Desktop\WebStorage","False","0"
"C:\Users\Nebula\AppData\Roaming\GitHub Desktop\WebStorage\QuotaManager","QuotaManager","","40","8/6/2025 21:56:12","4/12/2026 19:02:27","4/12/2026 19:02:27","C:\Users\Nebula\AppData\Roaming\GitHub Desktop\WebStorage","False","0"
"C:\Users\Nebula\AppData\Roaming\GitHub Desktop\Cache\Cache_Data\f_00001e","f_00001e","","32.79","4/12/2026 19:02:07","4/12/2026 19:02:07","4/12/2026 19:02:07","C:\Users\Nebula\AppData\Roaming\GitHub Desktop\Cache\Cache_Data","False","0"
"C:\Users\Nebula\Desktop\Sec-Projects\Nebula-Forge\detection-pipeline\config.example.yaml","config.example.yaml",".yaml","2.29","4/12/2026 19:00:11","4/12/2026 19:00:11","4/12/2026 19:00:11","C:\Users\Nebula\Desktop\Sec-Projects\Nebula-Forge\detection-pipeline","False","0"
"C:\Users\Nebula\Desktop\Sec-Projects\Nebula-Forge\.gitignore",".gitignore",".gitignore","0.22","4/12/2026 18:59:58","4/12/2026 18:59:58","4/12/2026 18:59:58","C:\Users\Nebula\Desktop\Sec-Projects\Nebula-Forge","False","0"
"C:\Users\Nebula\Desktop\Sec-Projects\Nebula-Forge\ir-chain\config.example.yaml","config.example.yaml",".yaml","2.22","4/12/2026 18:58:39","4/12/2026 18:58:39","4/12/2026 18:58:39","C:\Users\Nebula\Desktop\Sec-Projects\Nebula-Forge\ir-chain","False","0"
"C:\Users\Nebula\Desktop\Sec-Projects\Nebula-Forge\ir-chain\config.yaml","config.yaml",".yaml","2.3","4/12/2026 18:57:47","4/12/2026 18:57:47","4/12/2026 18:57:47","C:\Users\Nebula\Desktop\Sec-Projects\Nebula-Forge\ir-chain","False","0"
"C:\Users\Nebula\Documents\Virtual Machines\Windows 11x01\vmware-0.log","vmware-0.log",".log","369.18","1/20/2026 17:08:14","4/12/2026 18:55:11","4/12/2026 18:55:11","C:\Users\Nebula\Documents\Virtual Machines\Windows 11x01","False","0"
"C:\Users\Nebula\Documents\Virtual Machines\Windows 11x01\Windows 11x01-0.scoreboard","Windows 11x01-0.scoreboard",".scoreboard","7.61","1/20/2026 17:08:14","4/12/2026 18:55:10","4/12/2026 18:55:10","C:\Users\Nebula\Documents\Virtual Machines\Windows 11x01","False","0"
"C:\Users\Nebula\Documents\Virtual Machines\Windows 11x01\mksSandbox-0.log","mksSandbox-0.log",".log","58.17","1/20/2026 17:08:15","4/12/2026 18:55:10","4/12/2026 18:55:10","C:\Users\Nebula\Documents\Virtual Machines\Windows 11x01","False","0"
"C:\Users\Nebula\AppData\Roaming\Greenshot\Greenshot.ini","Greenshot.ini",".ini","19.46","7/20/2025 21:02:06","4/12/2026 18:50:17","4/12/2026 18:50:17","C:\Users\Nebula\AppData\Roaming\Greenshot","False","0"
"C:\Users\Nebula\AppData\Roaming\Microsoft\Windows\Recent\GItHub-screenshots.lnk","GItHub-screenshots.lnk",".lnk","0.59","2/22/2026 22:42:57","4/12/2026 18:50:15","4/12/2026 18:50:15","C:\Users\Nebula\AppData\Roaming\Microsoft\Windows\Recent","True","0"
"C:\Users\Nebula\AppData\Roaming\Microsoft\Windows\Recent\Nebula-Forge.png.lnk","Nebula-Forge.png.lnk",".lnk","0.67","4/12/2026 18:50:15","4/12/2026 18:50:15","4/12/2026 18:50:15","C:\Users\Nebula\AppData\Roaming\Microsoft\Windows\Recent","True","0"
"C:\ProgramData\Acronis\TrueImageHome\Logs\ti_shell.log","ti_shell.log",".log","0","7/27/2025 15:23:05","4/12/2026 18:49:46","4/12/2026 18:49:46","C:\ProgramData\Acronis\TrueImageHome\Logs","False","0"
"C:\ProgramData\Whesvc\pool_tags_summary\pool_tags_summary_2026-04-12_22_49_07_376.json","pool_tags_summary_2026-04-12_22_49_07_376.json",".json","7.31","4/12/2026 18:49:07","4/12/2026 18:49:07","4/12/2026 18:49:07","C:\ProgramData\Whesvc\pool_tags_summary","False","0"
"C:\ProgramData\Whesvc\perftrack_summary\perftrack_summary_2026-04-12_22_47_05_602.json","perftrack_summary_2026-04-12_22_47_05_602.json",".json","1.41","4/12/2026 18:47:05","4/12/2026 18:47:05","4/12/2026 18:47:05","C:\ProgramData\Whesvc\perftrack_summary","False","0"
