"Name"
"InitShutdown"
"lsass"
"ntsvcs"
"Winsock2\CatalogChangeListener-504-0"
"Winsock2\CatalogChangeListener-8d4-0"
"epmapper"
"Winsock2\CatalogChangeListener-778-0"
"LSM_API_service"
"Winsock2\CatalogChangeListener-904-0"
"atsvc"
"Winsock2\CatalogChangeListener-b5c-0"
"ExtEventPipe_Service"
"eventlog"
"Winsock2\CatalogChangeListener-ed4-0"
"NvMessageBusBroadcastNVIDIA.Display.Driver"
"cec9b76f-2a1b-4a81-9743-6bcf5dfcff9"
"Winsock2\CatalogChangeListener-14a8-0"
"dotnet-diagnostic-5360"
"wkssvc"
"dotnet-diagnostic-6764"
"trkwks"
"vmware-usbarbpipe"
"srvsvc"
"crashpad_6772_HVLMQBJXCIKUZRMH"
"vmware-authdpipe"
"NvMessageBusBroadcast"
"MagSVC"
"aakore.sock"
"logitech_kiros_updater"
"a62ed1c1-e1a9-5495-9038-16bd49ec7341"
"PIPE_EVENTROOT\CIMV2SCM EVENT PROVIDER"
"SDMigration"
"23771888-7c70-436c-a9db-a78daa1f914a"
"2921b83a-2161-43f1-8fb1-3af405ffa5de"
"SmartAllocSrv_1"
"e5d10cc6-a31e-40b7-a107-8e085dca3d19_UA_0"
"e5d10cc6-a31e-40b7-a107-8e085dca3d19_UE_UA_0"
"crashpad_11736_VQOHCUYGNLKQCPQK"
"qtsingleapp-DPMLau-fcc1-1"
"logitech_kiros_agent-9de3deb185db08ab775d3fa8ad6aed8e"
"Winsock2\CatalogChangeListener-7cc-0"
"WiFiNetworkManagerTask"
"MsFteWds"
"7c3338c5-8eec-50ae-bc4a-1f6969419936"
"2f093fe9-a235-5d1c-9a62-3fae2cdf7eb1"
"NordSec\NordUpdate\e593baa2388e414784fa59749d22fd7c"
"PSHost.134204852238427073.5360.DefaultAppDomain.nordvpn-service"
"Sessions\1\AppContainerNamedObjects\S-1-15-2-283421221-3183566570-1718213290-751554359-3541592344-2312209569-3374928651\mojo.16308.18628.909602540788048599"
"Sessions\1\AppContainerNamedObjects\S-1-15-2-283421221-3183566570-1718213290-751554359-3541592344-2312209569-3374928651\crashpad_1364_ZQJDLUCGQKCAERZE"
"Sessions\1\AppContainerNamedObjects\S-1-15-2-283421221-3183566570-1718213290-751554359-3541592344-2312209569-3374928651\mojo.1364.20284.6702617796915285009"
"Sessions\1\AppContainerNamedObjects\S-1-15-2-283421221-3183566570-1718213290-751554359-3541592344-2312209569-3374928651\mojo.1364.20284.9904256862727996173"
"Sessions\1\AppContainerNamedObjects\S-1-15-2-283421221-3183566570-1718213290-751554359-3541592344-2312209569-3374928651\mojo.1364.20284.10401473523287948236"
"Sessions\1\AppContainerNamedObjects\S-1-15-2-283421221-3183566570-1718213290-751554359-3541592344-2312209569-3374928651\mojo.1364.20284.14171891777531395263"
"Sessions\1\AppContainerNamedObjects\S-1-15-2-283421221-3183566570-1718213290-751554359-3541592344-2312209569-3374928651\mojo.20492.20496.3498826065151693023"
"Sessions\1\AppContainerNamedObjects\S-1-15-2-283421221-3183566570-1718213290-751554359-3541592344-2312209569-3374928651\mojo.1364.20168.14675246587100952387"
"Sessions\1\AppContainerNamedObjects\S-1-15-2-283421221-3183566570-1718213290-751554359-3541592344-2312209569-3374928651\mojo.1364.20168.7764584035572272528"
"Sessions\1\AppContainerNamedObjects\S-1-15-2-283421221-3183566570-1718213290-751554359-3541592344-2312209569-3374928651\mojo.1364.20168.11569692678620368445"
"Sessions\1\AppContainerNamedObjects\S-1-15-2-283421221-3183566570-1718213290-751554359-3541592344-2312209569-3374928651\mojo.1364.20168.13268951343794652077"
"NvWksServiceDdisplayPipe"
"Sessions\1\AppContainerNamedObjects\S-1-15-2-283421221-3183566570-1718213290-751554359-3541592344-2312209569-3374928651\mojo.1364.20168.6328642593699653181"
"Sessions\1\AppContainerNamedObjects\S-1-15-2-283421221-3183566570-1718213290-751554359-3541592344-2312209569-3374928651\mojo.1364.20168.5784193680484499150"
"BraveSoftwareCrashServices\S-1-5-18"
"BraveSoftwareCrashServices\S-1-5-18-x64"
"dotnet-diagnostic-6104"
"{F685F498-BFDE-49D3-8132-D708F76B990E}"
"3FB6A1B2-40E0-43C3-AD6D-39A499FBCFB0_1"
"nord-security\v1\NordVpnService\Server"
"nord-security\v1\2dd5a4a06f60efa2786907edf04625d6d418698c111797654ca729310bd34cb8"
"dotnet-diagnostic-25900"
"mojo.27028.26636.813814333712475273"
"mojo.27028.26636.16875881895877206967"
"MagUIServer82291159"
"mojo.27028.26636.1412948068092189646"
"mojo.27028.27260.14297274680871589292"
"MSI_CC_Engine"
"e1875d3d-3552-42ab-86ba-ba39f078b56"
"PSHost.134204852627341153.31760.DefaultAppDomain.MSI_LAN_Manager_Tool"
"crashpad_18436_ARKNCUWSIORIMQSW"
"LOCAL\mojo.18436.30612.18072501133492707364"
"LOCAL\mojo.18436.30612.16739888602678459726"
"LOCAL\mojo.18436.30612.2768068627367305248"
"LOCAL\mojo.18436.30612.7546533017917244579"
