"Entry","RecordName","RecordType","Status","Data","TimeToLive"
"claude.ai",,,"0","160.79.104.10","152"
"setup.icloud.com",,,"0","setup.fe2.apple-dns.net","91"
"setup.icloud.com",,,"0","2620:149:a41:580::2:4","91"
"setup.icloud.com",,,"0","2620:149:a41:580::2:6","91"
"setup.icloud.com",,,"0","2620:149:a41:580::2:a","91"
"setup.icloud.com",,,"0","2620:149:a41:580:16::1","91"
"setup.icloud.com",,,"0","2620:149:a41:580:e::1","91"
"setup.icloud.com",,,"0","setup.fe2.apple-dns.net","91"
"setup.icloud.com",,,"0","17.248.201.73","91"
"setup.icloud.com",,,"0","17.248.201.65","91"
"setup.icloud.com",,,"0","17.248.201.27","91"
"setup.icloud.com",,,"0","17.248.201.72","91"
"setup.icloud.com",,,"0","17.248.201.64","91"
"array611.prod.do.dsp.mp.microsoft.com",,,"0","72.145.35.106","3278"
"array616.prod.do.dsp.mp.microsoft.com",,,"0","72.145.35.111","193"
"a.a.0.3.a.2.e.f.9.2.1.4.e.3.c.0.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa",,,"0","Nebula","1200"
"spclient.wg.spotify.com",,,"0","edge-web.dual-gslb.spotify.com","15"
"spclient.wg.spotify.com",,,"0","2600:1901:1:7c5::","15"
"spclient.wg.spotify.com",,,"0","edge-web.dual-gslb.spotify.com","9"
"spclient.wg.spotify.com",,,"0","35.186.224.24","9"
"1.56.168.192.in-addr.arpa",,,"0","Nebula","1200"
"array624.prod.do.dsp.mp.microsoft.com",,,"0","72.145.35.119","63"
"6.d.4.2.b.e.a.7.9.c.b.c.e.b.0.4.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa",,,"0","Nebula","1200"
"nexus-websocket-a.intercom.io",,,"0","18.97.36.9","3"
"nexus-websocket-a.intercom.io",,,"0","18.97.36.16","3"
"nexus-websocket-a.intercom.io",,,"0","18.97.36.61","3"
"nexus-websocket-a.intercom.io",,,"0","18.97.36.56","3"
"nexus-websocket-a.intercom.io",,,"0","18.97.36.54","3"
"nexus-websocket-a.intercom.io",,,"0","18.97.36.44","3"
"nexus-websocket-a.intercom.io",,,"0","18.97.36.66","3"
"nexus-websocket-a.intercom.io",,,"0","18.97.36.19","3"
"0.7.c.1.3.5.9.7.5.d.7.f.0.4.7.c.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa",,,"0","Nebula","1200"
"storage.googleapis.com",,,"0","142.251.214.187","12"
"storage.googleapis.com",,,"0","142.251.210.91","12"
"storage.googleapis.com",,,"0","142.251.35.251","12"
"storage.googleapis.com",,,"0","172.217.165.219","12"
"storage.googleapis.com",,,"0","192.178.50.91","12"
"storage.googleapis.com",,,"0","142.251.214.251","12"
"storage.googleapis.com",,,"0","142.251.34.155","12"
"storage.googleapis.com",,,"0","142.251.211.251","12"
"storage.googleapis.com",,,"0","142.251.215.27","12"
"storage.googleapis.com",,,"0","142.251.215.123","12"
"storage.googleapis.com",,,"0","192.178.50.59","12"
"storage.googleapis.com",,,"0","142.250.176.91","12"
"storage.googleapis.com",,,"0","142.251.218.59","12"
"storage.googleapis.com",,,"0","142.251.35.123","12"
"storage.googleapis.com",,,"0","142.251.215.59","12"
"1.246.168.192.in-addr.arpa",,,"0","Nebula","1200"
"array602.prod.do.dsp.mp.microsoft.com",,,"0","72.145.35.97","171"
"applytics.nordvpn.com",,,"0","2606:4700:3030::6815:43c9","120"
"applytics.nordvpn.com",,,"0","2606:4700:3037::ac43:b492","120"
"applytics.nordvpn.com",,,"0","172.67.180.146","38"
"applytics.nordvpn.com",,,"0","104.21.67.201","38"
"pypi.org",,,"0","2a04:4e42:200::223","77132"
"pypi.org",,,"0","2a04:4e42::223","77132"
"pypi.org",,,"0","2a04:4e42:400::223","77132"
"pypi.org",,,"0","2a04:4e42:600::223","77132"
"pypi.org",,,"0","151.101.0.223","74344"
"pypi.org",,,"0","151.101.64.223","74344"
"pypi.org",,,"0","151.101.128.223","74344"
"pypi.org",,,"0","151.101.192.223","74344"
"1.46.168.192.in-addr.arpa",,,"0","Nebula","1200"
"array612.prod.do.dsp.mp.microsoft.com",,,"0","72.145.35.107","1417"
"2.0.5.10.in-addr.arpa",,,"0","Nebula","1200"
"f.9.7.f.a.9.4.2.6.7.e.b.8.b.3.7.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa",,,"0","Nebula","1200"
